"","group","dose","area"
"1",10,8,3.6
"2",10,8,20.14
"3",10,8,9.08
"4",10,8,4.72
"5",10,8,5.44
"6",9,2.5,16.59
"7",9,2.5,4.63
"8",9,2.5,6.52
"9",9,2.5,4.58
"10",9,2.5,35.2
"11",8,0.8,200.12
"12",8,0.8,240.12
"13",8,0.8,125.14
"14",8,0.8,166.94
"15",8,0.8,188.34
"16",7,0.25,684.95
"17",7,0.25,725.9
"18",7,0.25,426.98
"19",7,0.25,620.49
"20",7,0.25,429.59
"21",6,0.08,1286.51
"22",6,0.08,1165.6
"23",6,0.08,1161.33
"24",6,0.08,1334.88
"25",6,0.08,898.46
"26",5,0.025,1669.58
"27",5,0.025,989.8
"28",5,0.025,492.2
"29",5,0.025,1079.79
"30",5,0.025,870.46
"31",4,0.008,1148.65
"32",4,0.008,1575.54
"33",4,0.008,1519.13
"34",4,0.008,2170.01
"35",4,0.008,1422.13
"36",3,0.0025,543
"37",3,0.0025,1087.16
"38",3,0.0025,1361.98
"39",3,0.0025,1332.23
"40",3,0.0025,1443.88
"41",2,8e-04,882.86
"42",2,8e-04,1744.73
"43",2,8e-04,1358.21
"44",2,8e-04,1293.26
"45",2,8e-04,1224.98
"46",1,0,1526.1
"47",1,0,1902.87
"48",1,0,1071.02
"49",1,0,1453.77
"50",1,0,1348.1
