"","group","dose","area"
"1",8,10,74.2
"2",8,10,117.11
"3",8,10,106.29
"4",8,10,175.8
"5",8,10,237.9
"6",7,3.1,75.57
"7",7,3.1,104.4
"8",7,3.1,162.85
"9",7,3.1,177.41
"10",7,3.1,189.22
"11",6,1,134.36
"12",6,1,172.59
"13",6,1,144.05
"14",6,1,310.02
"15",6,1,202.22
"16",5,0.31,378.21
"17",5,0.31,261.06
"18",5,0.31,277.41
"19",5,0.31,533.84
"20",5,0.31,318.71
"21",4,0.08,792.2
"22",4,0.08,1401.98
"23",4,0.08,1037.9
"24",4,0.08,1337.43
"25",4,0.08,1492.91
"26",3,0.025,2626.8
"27",3,0.025,3294.23
"28",3,0.025,2038.99
"29",3,0.025,2617.34
"30",3,0.025,2139.27
"31",2,0.0025,2430.34
"32",2,0.0025,2783.51
"33",2,0.0025,2471.22
"34",2,0.0025,2710.73
"35",2,0.0025,2980.58
"36",1,0,1829.82
"37",1,0,2470.09
"38",1,0,2441.92
"39",1,0,2160.02
"40",1,0,2266.02
