"","group","dose","area"
"1",10,10,0.98
"2",10,10,3.17
"3",10,10,0.05
"4",10,10,0.75
"5",9,3.1,1.49
"6",9,3.1,2.24
"7",9,3.1,0.28
"8",9,3.1,3.87
"9",9,3.1,0.05
"10",8,1,14.77
"11",8,1,9.36
"12",8,1,8.48
"13",8,1,12.76
"14",8,1,2.24
"15",7,0.31,40.06
"16",7,0.31,90.97
"17",7,0.31,136.81
"18",7,0.31,53.38
"19",7,0.31,63.35
"20",6,0.08,488.97
"21",6,0.08,477.41
"22",6,0.08,482.63
"23",6,0.08,624.47
"24",6,0.08,518.36
"25",5,0.025,1057.12
"26",5,0.025,988.13
"27",5,0.025,904.29
"28",5,0.025,1049.85
"29",5,0.025,527.4
"30",4,0.008,455.33
"31",4,0.008,416.62
"32",4,0.008,813.08
"33",4,0.008,356.16
"34",4,0.008,348.8
"35",3,0.0025,751.68
"36",3,0.0025,1195.47
"37",3,0.0025,961.91
"38",3,0.0025,1396.98
"39",3,0.0025,543.84
"40",2,8e-04,557.86
"41",2,8e-04,635.18
"42",2,8e-04,1027.91
"43",2,8e-04,1310.66
"44",2,8e-04,1164.77
"45",1,0,803.62
"46",1,0,1304.98
"47",1,0,968.75
"48",1,0,1057.72
"49",1,0,777.26
