Name.of.Covered.Entity,State,Covered.Entity.Type,Individuals.Affected,Breach.Submission.Date,Type.of.Breach,Location.of.Breached.Information,Business.Associate.Present,Web.Description
All Source Medical Management,AZ,Business Associate,1456,11/13/13,Theft,Other,TRUE,\N
Memorial Sloan-Kettering Cancer Center,NY,Healthcare Provider,2279,11/13/13,Loss,Other Portable Electronic Device,FALSE,\N
Health Fitness Corporation,IL,Business Associate,4837,11/14/13,Theft,Laptop,TRUE,\N
UHS-Pruitt Corporation,GA,Healthcare Provider,1300,11/15/13,Theft,Laptop,FALSE,"A managers unencrypted laptop computer was stolen from a hotel parking lot which also included the employees login and system password and the covered entitys (CE) long term care software application.  The laptop contained 1,300 individuals protected health information (PHI) and included names, social security numbers, addresses, dates of birth, bank account numbers, Medicare numbers, possible diagnoses, and patient locations. Following the breach, the CE changed the employees password and performed an analysis to ensure no attempts had been made to access the system and long term care application using the prior account and password.  The CE improved safeguards by encrypting electronic devices and employing devices that do not allow local storage.  The CE has also re-trained employees.  OCR has consolidated this review into a compliance review that involves the same corporate entity and another stolen unencrypted laptop. \\\"
"United Dynacare, LLC dba Dynacare Laboratories",WI,Healthcare Provider,9328,11/18/13,Theft,Other Portable Electronic Device,FALSE,\N
Redwood Memorial Hospital,CA,Healthcare Provider,1039,11/19/13,Loss,Other Portable Electronic Device,FALSE,\N
"University of California, San Francisco",CA,Healthcare Provider,8294,11/22/13,Theft,"Laptop, Paper/Films",FALSE,\N
Kaiser Foundation Hospital- Orange County,CA,Healthcare Provider,49000,11/22/13,Loss,Other Portable Electronic Device,FALSE,\N
Jones Chiropractic and Maximum Health,IN,Healthcare Provider,1500,11/26/13,Theft,Desktop Computer,FALSE,\N
Ronald Schubert MD PLLC,WA,Healthcare Provider,950,11/26/13,Theft,Laptop,FALSE,\N
UPMC,PA,Healthcare Provider,1279,11/27/13,Unauthorized Access/Disclosure,Electronic Medical Record,FALSE,\N
UW Medicine,WA,Healthcare Provider,76183,11/27/13,Hacking/IT Incident,Desktop Computer,FALSE,\N
City of Chicago,IL,Healthcare Provider,2080,11/29/13,Unauthorized Access/Disclosure,Network Server,FALSE,\N
"Quality Health Claims Consultants, LLC",IL,Business Associate,1573,12/6/13,Theft,Email,TRUE,"The Covered Entitys (CE) Business Associate (BA) mailed letters to their clients to request certain documents containing identifying information. An erroneous fax number listing caused some clients to fax their information to the wrong number.  Approximately 1,573 individuals were affected by the breach.  The protected health information (PHI) involved included names, addresses, dates of birth, and social security numbers.  Following the breach, the BA confirmed that any faxes sent to the incorrect fax number were destroyed.   The BA also standardized all company literature to require manual data entry of client-specific contact information to assure quality control.  OCR  provided information to assist the CE to revise its BA agreement.  \\"
SIU HealthCare,IL,Healthcare Provider,1891,12/6/13,"Loss, Theft",Laptop,FALSE,\N
The Good Samaritan Health Center,GA,Healthcare Provider,5000,12/6/13,Other,Desktop Computer,FALSE,\N
UniHealth Source,GA,Healthcare Provider,4500,12/6/13,Theft,Laptop,FALSE,\N
Walgreen Co.,IL,Healthcare Provider,17350,12/6/13,Other,Paper/Films,FALSE,\N
Methodist Dallas Medical Center,TX,Healthcare Provider,44000,12/6/13,Unauthorized Access/Disclosure,Other,FALSE,\N
Florida Digestive Health Specialists,FL,Healthcare Provider,4400,12/9/13,Unauthorized Access/Disclosure,Desktop Computer,FALSE,\N
"Northside Hospital, Inc.",GA,Healthcare Provider,4879,12/10/13,Loss,Laptop,FALSE,\N
"Health Help, Inc.",KY,Healthcare Provider,535,12/10/13,Theft,Other Portable Electronic Device,FALSE,"An unencrypted portable computer drive containing the electronic protected health information (ePHI) of 535 individuals was stolen from a workforce members unlocked personal vehicle parked at home.  The ePHI involved in the breach included names and birthdates.  Upon discovering the breach, the covered entity (CE) provided notice to HHS, affected individuals and the media.  Following the breach, the CE reminded employees of its safeguards policy, provided additional training to workforce members who are authorized to take laptops and mobile devices home, and improved safeguards by instituting random audits to ensure that unencrypted ePHI is not stored on computers and mobile devices.  The CE also updated the computer usage agreement for employees and sanctioned the workforce member for violating its policy.  OCR obtained assurances that the CE implemented the corrective action listed above."
L.A. Gay & Lesbian Center,CA,Healthcare Provider,59000,12/10/13,Hacking/IT Incident,Network Server,FALSE,\N
Mosaic,NE,Healthcare Provider,3857,12/11/13,Other,Email,FALSE,\N
Island Peer Review Organization,NY,Business Associate,9642,12/12/13,Loss,Other Portable Electronic Device,TRUE,\N
Molina Healthcare In,CA,Business Associate,1499,12/16/13,Unauthorized Access/Disclosure,Network Server,TRUE,\N
Wyoming Department of Health,WY,Health Plan,11935,12/16/13,Unauthorized Access/Disclosure,Network Server,FALSE,\N
Shiloh Medical Clinic,MT,Healthcare Provider,1900,12/17/13,Unauthorized Access/Disclosure,"Desktop Computer, Email",FALSE,\N
DeLoach & Williamson,SC,Business Associate,3432,12/18/13,Theft,Laptop,TRUE,"DeLoach & Williamsons (a business associate (BA) for South Carolina Health Insurance Pool) employees car was broken into and her password-protected company laptop computer was stolen which contained the electronic protected health information (ePHI) of 3,432 individuals. The ePHI involved in the breach included social security numbers, names, dates of service, and provider identification numbers.  The BA provided breach notification to the covered entity, affected individuals, and HHS.  The covered entity provided breach notification to the media.  Following the breach, the BA immediately launched an internal investigation and retrained the subject employee on the companys  policies on privacy and security of electronic information.  Prior to the incident, the BA had decided to dissolve the company and it ceased operations by December 2013.  The BA intends to legally file for dissolution in December 2014. \\"
Colby DeHart,TN,Business Associate,2777,12/19/13,Theft,Laptop,TRUE,\N
ZDI,CA,Business Associate,1674,12/20/13,Loss,Paper/Films,TRUE,\N
"Molina Healthcare of Texas, Inc.",TX,Health Plan,2826,12/21/13,Other,Paper/Films,FALSE,\N
"Rob Meaglia, DDS",CA,Healthcare Provider,1400,12/23/13,Theft,Desktop Computer,FALSE,\N
Jeff Spiegel,MA,Healthcare Provider,832,12/23/13,Unauthorized Access/Disclosure,Email,FALSE,\N
Tranquility Counseling Services,NC,Healthcare Provider,1683,12/23/13,Other,Paper/Films,FALSE,\N
Florida Department of Health,FL,Healthcare Provider,2354,12/23/13,Unauthorized Access/Disclosure,Desktop Computer,FALSE,\N
"New Mexico Oncology Hematology Consultants, LTD",NM,Healthcare Provider,12354,12/31/13,Theft,Laptop,FALSE,\N
Colorado Community Health Alliance (CCHA)/Physicians Health Partners,CO,Business Associate,1918,1/2/14,Unauthorized Access/Disclosure,Email,TRUE,\N
"Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates",NJ,Business Associate,839711,1/3/14,Theft,Laptop,TRUE,\N
Phoebe Putney Memorial Hospital,GA,Healthcare Provider,6989,1/3/14,Loss,Desktop Computer,FALSE,\N
Coulee Medical Center,WA,Healthcare Provider,2500,1/3/14,Theft,"Email, Laptop, Network Server",FALSE,"The covered entity (CE), Coulee Medical Center, reported that a CE-employed physician disclosed electronic protected health information (ePHI) to his wife without authorization.  The ePHI involved in the breach included names, hospital account numbers, dates of service, CPT codes, and service descriptions for approximately 2,500 individuals.  The CE provided breach notification to HHS and affected individuals.  Upon discovering the breach, the CE sanctioned the physician, required the physician to complete comprehensive HIPAA training, and required all workforce members to complete annual HIPAA training.  As a result of OCRs investigation, the CE implemented new information security policies and procedures to better safeguard its ePHI.  OCR provided the CE with technical assistance regarding what constitutes an adequate Security Rule risk analysis and risk management plan, as well as what constitutes adequate notice to the media pursuant to the Breach Notification Rule.  \\"
"RevSpring, Inc.",MI,Business Associate,3000,1/6/14,Other,Paper/Films,TRUE,\N
North Carolina Department of Health and Human Services ,NC,Health Plan,48752,1/6/14,Unauthorized Access/Disclosure,Other,FALSE,\N
"Phreesia, Inc",NY,Business Associate,2500,1/8/14,Theft,Laptop,TRUE,\N
Tri Lakes Medical Center,MS,Healthcare Provider,1489,1/10/14,Hacking/IT Incident,Network Server,FALSE,\N
Virginia Premier Health Plan (VPHP),VA,Business Associate,25513,1/10/14,Theft,Paper/Films,TRUE,"Virginia Premier Health Plan, a business associate (BA) of the covered entity (CE), Virginia Department of Medical Assistance Services (VA-DMAS), mailed incorrect postcards to Virginia Medicaid members.  The breach included 13,357 postcards that were mailed to the wrong address and 12,156 postcards that contained incorrect services information.  The information did not include social security numbers or financial information.  The BA provided breach notification to HHS, the media, and to affected individuals in English and Spanish.  Following this breach, the BA improved safeguards by retraining employees on safeguards for protected health information, updating procedures for mailings, and implementing additional quality control checks.   OCR obtained assurances that the BA implemented the corrective action listed above."
Cook County Health & Hospitals System,IL,Healthcare Provider,22511,1/11/14,Other,Email,FALSE,\N
Southwest General Health Center,OH,Healthcare Provider,953,1/13/14,Unknown,Other,FALSE,\N
"RGH Enterprises, Inc.",OH,Health Plan,4230,1/13/14,Theft,Network Server,FALSE,"Computer hackers installed malware that intercepted the electronic protected health information (ePHI) of approximately 4,230 individuals using the covered entitys (CEs) website.  The ePHI included names, dates of birth, phone numbers, shipping and billing addresses, email addresses, credit card issuers, expiration dates, the last 4 digits of credit card numbers, account numbers, primary physicians, diagnoses, order histories, and health insurers.  Following the breach, the CE removed the malware from the affected computer servers, migrated the website to non-compromised "
Network Pharmacy Knoxville,TN,Healthcare Provider,9602,1/15/14,Theft,Laptop,FALSE,\N
Saint Francis Hospital and Medical Center,CT,Healthcare Provider,858,1/16/14,Theft,Paper/Films,FALSE,\N
Sentara Healthcare,VA,Healthcare Provider,3861,1/16/14,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,FALSE,\N
Health Dimensions,MI,Healthcare Provider,5370,1/16/14,Theft,Network Server,FALSE,\N
COMPLETE MEDICAL HOMECARE,KS,Healthcare Provider,1700,1/21/14,Unauthorized Access/Disclosure,Other Portable Electronic Device,FALSE,\N
Hospital for Special Surgery,NY,Healthcare Provider,937,1/21/14,Theft,"Desktop Computer, Paper/Films",FALSE,\N
The Brooklyn Hospital Center,NY,Healthcare Provider,2172,1/22/14,Loss,Other Portable Electronic Device,FALSE,\N
"Robert B. Neves, M.D.",CA,Business Associate,611,1/24/14,Theft,Laptop,TRUE,
"Triple-C, Inc.",PR,Business Associate,398000,1/24/14,Theft,Network Server,TRUE,\N
"Triple-C, Inc.",PR,Business Associate,8000,1/24/14,"Theft, Unauthorized Access/Disclosure",Network Server,TRUE,\N
"Birmingham Printing and Publishing, Inc dba Paper Airplane",AL,Business Associate,1085,1/24/14,Other,Other,TRUE,\N
Medical Mutual of Ohio,OH,Business Associate,1420,1/27/14,Unauthorized Access/Disclosure,Paper/Films,TRUE,\N
University of Wisconsin-Madison School of Pharmacy,WI,Business Associate,41437,1/30/14,Loss,Other Portable Electronic Device,TRUE,\N
The University of Texas MD Anderson Cancer Center,TX,Healthcare Provider,3598,1/31/14,Loss,Other Portable Electronic Device,FALSE,\N
Beebe Medical Center,DE,Healthcare Provider,1883,1/31/14,Other,Laptop,FALSE,\N
St. Joseph Health System ,TX,Health Plan,405000,2/5/14,Hacking/IT Incident,Network Server,FALSE,\N
"Min Yi, M.D.",CA,Healthcare Provider,4676,2/5/14,Theft,Other Portable Electronic Device,FALSE,\N
Easter Seal Society of Superior California,CA,Healthcare Provider,3026,2/7/14,Theft,Laptop,FALSE,\N
PruittHealth Pharmacy Services,GA,Healthcare Provider,841,2/7/14,Theft,Laptop,FALSE,"A managers unencrypted laptop computer was stolen from the back seat of an employees car.  The laptop contained the protected health information (PHI) of 841 individuals and included names, possible diagnoses, prescription names, dates of service, and service locations.  The covered entity (CE) has improved safeguards by encrypting devices and employing devices that do not allow local storage.  The CE has also revised its privacy and security policies and re-trained employees.  OCR has consolidated this review into a compliance review that involves the same corporate entity and another stolen unencrypted laptop. "
Kmart Corporation,IL,Healthcare Provider,16446,2/10/14,Theft,"Electronic Medical Record, Other",FALSE,\N
WA State Department of Social & Health Services,WA,Health Plan,3104,2/11/14,"Other, Unauthorized Access/Disclosure",Paper/Films,FALSE,\N
Not Applicable ,NY,Business Associate,6475,2/12/14,"Other, Theft",Laptop,TRUE,\N
University of Miami,FL,Healthcare Provider,13074,2/12/14,Loss,Paper/Films,FALSE,\N
"Supportive Concepts for Families, Inc.",PA,Healthcare Provider,593,2/13/14,Unauthorized Access/Disclosure,Network Server,FALSE,\N
Health Care Solutions at Home Inc.,OH,Health Plan,1139,2/14/14,Theft,Other,FALSE,"The covered entity (CE) mistakenly mailed protected health information (PHI) to the wrong addresses of approximately 1,139 individuals following a computer error at the business associate (BA).  The PHI involved in the breach included names, addresses, dates of birth, dates of service, claims information, and diagnoses.  The CE provided breach notification to affected individuals, HHS, and the media, and posted substitute notice on its website.  To prevent a similar breach from happening in the future, the CE and BA improved safeguards by updating policies to require multiple reviews of PHI in mailings.  Following OCRs investigation, the CE updated its policies and procedures relating to the minimum necessary standard."
University of California Davis Medical Center,CA,Healthcare Provider,2269,2/14/14,Hacking/IT Incident,Email,FALSE,\N
"St. Vincent Hospital and Healthcare, Inc",IN,Healthcare Provider,1142,2/18/14,Theft,Laptop,FALSE,\N
"StayWell Health Management, LLC",MN,Business Associate,10024,2/21/14,Unauthorized Access/Disclosure,Network Server,TRUE,\N
"StayWell Health Management, LLC",MN,Business Associate,520,2/21/14,Unauthorized Access/Disclosure,Network Server,TRUE,\N
"StayWell Health Management, LLC",MN,Business Associate,4786,2/21/14,Unauthorized Access/Disclosure,Network Server,TRUE,\N
Inspira Health Network Inc.,NJ,Healthcare Provider,1411,2/21/14,Theft,Desktop Computer,FALSE,\N
"StayWell Health Management, LLC",MN,Business Associate,1511,2/25/14,Unauthorized Access/Disclosure,Network Server,TRUE,\N
"Care Advantage, Inc.",VA,Healthcare Provider,3458,2/26/14,Theft,Laptop,FALSE,\N
Pair Networks Inc.,PA,Business Associate,8845,2/26/14,"Other, Unauthorized Access/Disclosure",Other,TRUE,\N
"The Kroger Co., for itself and its affiliates and subsidiaries",OH,Healthcare Provider,504,2/26/14,Other,Electronic Medical Record,FALSE,\N
"Cornerstone Health Care, PA",NC,Healthcare Provider,548,2/26/14,"Loss, Theft",Laptop,FALSE,\N
Joseph Michael Benson M.D,TX,Healthcare Provider,7500,2/27/14,Theft,Desktop Computer,FALSE,\N
Data Media,GA,Business Associate,600,2/28/14,Other,Other,TRUE,\N
Eureka Internal Medicine,CA,Healthcare Provider,3534,3/4/14,Improper Disposal,Paper/Films,FALSE,\N
St. Joseph Health System,TX,Business Associate,3300,3/5/14,Hacking/IT Incident,Network Server,TRUE,\N
Banner Health,AZ,Healthcare Provider,55207,3/5/14,Other,Other,FALSE,\N
"PracMan, Inc.",AL,Business Associate,1179,3/10/14,Hacking/IT Incident,Network Server,TRUE,\N
Iowa Dept. of Human Services,IA,Health Plan,2042,3/10/14,Other,"Email, Laptop, Other Portable Electronic Device",FALSE,\N
Mission City Community Network,CA,Healthcare Provider,7800,3/12/14,Theft,Email,FALSE,
"University of California, San Francisco",CA,Healthcare Provider,9861,3/12/14,Theft,Desktop Computer,FALSE,\N
Detroit Medical Center - Harper University Hospital,MI,Healthcare Provider,1087,3/13/14,"Theft, Unauthorized Access/Disclosure",Paper/Films,FALSE,\N
"Todd M. Burton, M.D.",TX,Healthcare Provider,5000,3/13/14,Theft,Other,FALSE,\N
Valley View Hosptial Association,CO,Healthcare Provider,5415,3/14/14,Other,"Desktop Computer, Laptop",FALSE,\N
Hospitalists of Arizona,AZ,Healthcare Provider,1706,3/16/14,Theft,Laptop,FALSE,\N
TMA Practice Management Group,TX,Business Associate,2260,3/17/14,"Improper Disposal, Loss",Other Portable Electronic Device,TRUE,\N
"StayWell Health Management, LLC",MN,Business Associate,1746,3/18/14,Unauthorized Access/Disclosure,Network Server,TRUE,\N
Berea College,KY,Healthcare Provider,1000,3/20/14,Other,Electronic Medical Record,FALSE,\N
"HealthPartners, Inc.",MN,Health Plan,27839,3/21/14,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device",FALSE,\N
"HealthPartners Administrators, Inc.",MN,Business Associate,796,3/21/14,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device",TRUE,\N
"HealthPartners Administrators, Inc.",MN,Business Associate,1699,3/21/14,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device",TRUE,\N
"HealthPartners Administrators, Inc.",MN,Business Associate,715,3/21/14,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device",TRUE,\N
Talyst,WA,Business Associate,1079,3/24/14,Theft,Laptop,TRUE,\N
Yellowstone Boys and Girls Ranch,MT,Healthcare Provider,543,3/24/14,Theft,Paper/Films,FALSE,
"Orlando Health, Inc.",FL,Healthcare Provider,586,3/24/14,Loss,Other Portable Electronic Device,FALSE,\N
NOVA Chiropractic & Rehab Center,VA,Healthcare Provider,5534,3/27/14,"Loss, Other",Other Portable Electronic Device,FALSE,\N
Susquehanna Health,PA,Healthcare Provider,657,3/27/14,Unauthorized Access/Disclosure,Email,FALSE,\N
Jewish Hospital,KY,Healthcare Provider,2992,3/28/14,Other,Email,FALSE,\N
Franciscan Medical Group,WA,Healthcare Provider,8300,3/28/14,Other,Email,FALSE,\N
Palomar Health,CA,Healthcare Provider,5499,3/28/14,Theft,Other Portable Electronic Device,FALSE,\N
"Myriad Genetic Laboratories, Inc.",UT,Healthcare Provider,643,3/29/14,Unauthorized Access/Disclosure,Email,FALSE,\N
"RelayHealth, a division of McKesson",GA,Business Associate,1000,3/31/14,Unauthorized Access/Disclosure,Other,TRUE,\N
"Policy Studies, Inc. / Postal Center International, Inc.",FL,Business Associate,580,3/31/14,Unauthorized Access/Disclosure,Paper/Films,TRUE,\N
"Midwest Orthopaedics at Rush, LLC",IL,Healthcare Provider,1256,3/31/14,Hacking/IT Incident,Email,FALSE,\N
Indian Health Service,MD,Health Plan,214000,4/1/14,Unauthorized Access/Disclosure,Laptop,FALSE,\N
Kaiser Permanente Northern CA Department of Research,CA,Healthcare Provider,5178,4/2/14,Hacking/IT Incident,Network Server,FALSE,\N
Triple-S Salud ,PR,Health Plan,5795,4/2/14,Theft,Other,FALSE,
American Health Inc. ,PR,Health Plan,17776,4/3/14,Theft,Other,FALSE,
"State Long Term Care Ombudsmans Office, Michigan Department of Community Health ",MI,Health Plan,2595,4/3/14,Theft,Other Portable Electronic Device,FALSE,\N
Presence St. Joseph's Medical Center,IL,Healthcare Provider,836,4/4/14,Other,Paper/Films,FALSE,\N
"Clinical Reference Laboratory, Inc.",KS,Healthcare Provider,979,4/9/14,Loss,Paper/Films,FALSE,\N
Cigna,CT,Business Associate,527,4/9/14,Loss,Paper/Films,TRUE,\N
"Amerigroup Texas, Inc. ",VA,Business Associate,75026,4/10/14,Theft,Paper/Films,TRUE,\N
BLUE CROSS AND BLUE SHIELD OF KANSAS CITY,MO,Health Plan,2546,4/11/14,Unauthorized Access/Disclosure,Other,FALSE,\N
"University Urology, P.C.",TN,Healthcare Provider,1144,4/14/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
"Healthy Connections, Inc",CA,Healthcare Provider,793,4/14/14,Loss,Other Portable Electronic Device,FALSE,\N
IHS,MD,Health Plan,5000,4/15/14,Unauthorized Access/Disclosure,Other,FALSE,\N
Triple S Salud Inc.,PR,Business Associate,7911,4/15/14,Theft,Other Portable Electronic Device,TRUE,
Greenwood Leflore Hospital,MS,Healthcare Provider,3750,4/16/14,Theft,Other,FALSE,\N
"Service Coordination, Inc.",MD,Business Associate,10766,4/17/14,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,TRUE,\N
"Courier Express/Atlanta, Courier Express/Charlotte & Courier Express US, Inc.",GA,Business Associate,2523,4/17/14,"Theft, Unauthorized Access/Disclosure",Paper/Films,TRUE,\N
Shaker Clinic,OH,Healthcare Provider,617,4/18/14,Loss,Paper/Films,FALSE,\N
Tri State Adjustments,WI,Business Associate,1400,4/18/14,Other,Other,TRUE,\N
Larsen Dental Care LLC,ID,Healthcare Provider,6900,4/18/14,Theft,Other Portable Electronic Device,FALSE,\N
CENTURA HEALTH,CO,Healthcare Provider,12286,4/22/14,Hacking/IT Incident,Email,FALSE,\N
"Ladies First Choice, Inc.",FL,Healthcare Provider,2365,4/23/14,"Theft, Unauthorized Access/Disclosure",Laptop,FALSE,\N
"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company ",MA,Health Plan,8830,4/24/14,Theft,Other,FALSE,\N
Inclusion Research Institute,DC,Business Associate,2200,4/24/14,Unauthorized Access/Disclosure,Paper/Films,TRUE,\N
Willis North America Inc. Medical Expense Benefit Plan,NY,Health Plan,4830,4/24/14,Unauthorized Access/Disclosure,Email,FALSE,\N
Sorenson Communications,UT,Business Associate,9800,4/24/14,Hacking/IT Incident,Network Server,TRUE,\N
Baylor Medical Center at McKinney,TX,Healthcare Provider,1253,4/25/14,Hacking/IT Incident,Email,FALSE,\N
Baylor Medical Center at Irving,TX,Healthcare Provider,2308,4/25/14,Hacking/IT Incident,Email,FALSE,\N
Baylor Regional Medical Center at Plano,TX,Healthcare Provider,1981,4/25/14,Hacking/IT Incident,Email,FALSE,\N
HealthTexas Provider Network,TX,Healthcare Provider,2742,4/25/14,Hacking/IT Incident,Email,FALSE,\N
"Ferguson Advertising, Inc.",IN,Business Associate,1361,4/25/14,Hacking/IT Incident,Network Server,TRUE,\N
Iowa Medicaid Enterprise,IA,Health Plan,862,4/25/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
Flowers Hospital,AL,Healthcare Provider,629,4/25/14,Theft,Paper/Films,FALSE,\N
Reading Health System,PA,Healthcare Provider,1845,4/29/14,Loss,Paper/Films,FALSE,\N
MDF Transcription Services,MA,Business Associate,15265,4/29/14,Other,Other,TRUE,\N
OptumRx,IL,Business Associate,5696,4/30/14,Theft,Paper/Films,TRUE,"An employee of the covered entitys (CE) business associate (BA) mistakenly mailed protected health information (PHI) to other individuals due to a human error in sorting the data contained in an Excel spreadsheet.  The mailing affected 5,696 individuals and included names and prescription drug names.  The BA provided breach notification to the affected individuals, HHS, and the media.  As a result of OCRs investigation, OCR verified that the CE had a proper BA agreement in place that restricted the BAs use and disclosure of PHI and required the BA to safeguard all PHI.  OCR obtained assurances that the BA completed the corrective actions noted above.  The BA also stated that it has developed a plan to improve safeguards by implementing additional quality checks and controls for mailings."
UMass Memorial Medical Center,MA,Healthcare Provider,2387,5/5/14,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper/Films",FALSE,\N
KEYSTONE INSURERS GROUP,IN,Business Associate,1008,5/6/14,Other,Email,TRUE,\N
Options Counseling Center,NJ,Healthcare Provider,2828,5/9/14,"Theft, Unauthorized Access/Disclosure",Paper/Films,FALSE,\N
Creel Printing,NV,Business Associate,4744,5/10/14,Other,Paper/Films,TRUE,\N
Howard L. Weinstein D.P.M.,TX,Healthcare Provider,1000,5/10/14,Theft,Laptop,FALSE,\N
American Health Inc. ,PR,Health Plan,11531,5/18/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
Central City Concern,OR,Healthcare Provider,17914,5/19/14,Unauthorized Access/Disclosure,Other,FALSE,\N
Bloom Health,MN,Business Associate,502,5/19/14,"Hacking/IT Incident, Unauthorized Access/Disclosure",Email,TRUE,\N
Elliot Health System,NH,Healthcare Provider,1208,5/21/14,Theft,Desktop Computer,FALSE,\N
"Sutherland Healthcare Solutions, Inc.",NJ,Business Associate,342197,5/22/14,Theft,"Email, Laptop",TRUE,\N
Humana Inc [case #15381],KY,Health Plan,2962,5/23/14,Theft,Other Portable Electronic Device,FALSE,\N
Jamaica Hospital Medical Center,NY,Healthcare Provider,26162,5/23/14,Unauthorized Access/Disclosure,Desktop Computer,FALSE,\N
Bay Park Hospital,OH,Healthcare Provider,594,5/28/14,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server",FALSE,\N
Triple-S Salud ,PR,Health Plan,56853,5/29/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
"NFP Maschino, Hudelson & Associates",OK,Business Associate,3814,5/30/14,Theft,Laptop,TRUE,\N
Salina Health Education Foundation dba Salina Family Healthcare Center,KS,Healthcare Provider,9640,6/5/14,Unauthorized Access/Disclosure,Email,FALSE,\N
Open Cities Health Center ,MN,Healthcare Provider,1304,6/5/14,Other,Email,FALSE,\N
Mark A. Gillispie,CA,Healthcare Provider,5845,6/6/14,Theft,Desktop Computer,FALSE,\N
Penn State Milton S Hershey Medical Center,PA,Healthcare Provider,1801,6/6/14,Other,"Email, Other Portable Electronic Device",FALSE,\N
Walgreen Co.,IL,Healthcare Provider,540,6/6/14,Theft,"Desktop Computer, Paper/Films",FALSE,\N
St. Francis Hospital,GA,Healthcare Provider,1175,6/9/14,Other,Email,FALSE,\N
"Doctors First Choice Billings, Inc",FL,Business Associate,9255,6/11/14,Theft,Other,TRUE,
"Doctors First Choice Billings, Inc.",FL,Business Associate,1831,6/12/14,Hacking/IT Incident,Other,TRUE,\N
Santa Rosa Memorial Hospital ,CA,Healthcare Provider,33702,6/13/14,"Loss, Theft",Other Portable Electronic Device,FALSE,\N
Baylor Medical Center at Carrollton,TX,Healthcare Provider,2874,6/13/14,Unauthorized Access/Disclosure,Electronic Medical Record,FALSE,\N
Group Health Plan of Hurley Medical Center,MI,Health Plan,2289,6/16/14,Unauthorized Access/Disclosure,Email,FALSE,\N
IHS,MD,Health Plan,620,6/19/14,Unauthorized Access/Disclosure,Other,FALSE,\N
"David DiGiallorenzo, D.M.D.",PA,Healthcare Provider,11000,6/19/14,"Hacking/IT Incident, Unauthorized Access/Disclosure",Other,FALSE,\N
"NRAD Medical Associates, P.C.",NY,Healthcare Provider,97000,6/20/14,"Hacking/IT Incident, Unauthorized Access/Disclosure","Desktop Computer, Other Portable Electronic Device",FALSE,\N
NYU Hospitals Center,NY,Healthcare Provider,872,6/20/14,Theft,Laptop,FALSE,\N
"Abrham Tekola, M.D.,INC",CA,Healthcare Provider,5471,6/20/14,Theft,Desktop Computer,FALSE,
Colorado Neurodiagnostics,CO,Healthcare Provider,750,6/23/14,Theft,Laptop,FALSE,\N
"Sloane Stecker Physical Therapy, PC",NY,Healthcare Provider,2000,6/24/14,Theft,Electronic Medical Record,FALSE,\N
Riverside County Regional Medical Center,CA,Healthcare Provider,563,6/24/14,Theft,Laptop,FALSE,\N
Rady Children's Hospital - San Diego,CA,Healthcare Provider,14121,6/24/14,Unauthorized Access/Disclosure,Email,FALSE,\N
Rady Children's Hospital - San Diego,CA,Healthcare Provider,6307,6/25/14,Unauthorized Access/Disclosure,"Email, Other",FALSE,\N
Alabama Department of Public Health,AL,Healthcare Provider,1200,6/26/14,Theft,Electronic Medical Record,FALSE,\N
The Union Labor Life Insurance Company,MD,Healthcare Provider,42713,6/27/14,Theft,Laptop,FALSE,
VA Long Beach Healthcare System,CA,Healthcare Provider,592,7/4/14,Unauthorized Access/Disclosure,Paper/Films,FALSE,\N
D&J Optical Inc. ,AL,Health Plan,1100,7/7/14,Hacking/IT Incident,Desktop Computer,FALSE,\N
Montana Department of Public Health and Human Services,MT,Health Plan,1062509,7/7/14,Hacking/IT Incident,Network Server,FALSE,\N
Highmark Inc.,PA,Business Associate,2589,7/8/14,Theft,Paper/Films,TRUE,"Health profile and care summaries and corresponding cover letters were incorrectly mailed to senior members of the covered entity (CE), Highmark Health, and their physicians.  The protected health information involved in the breach included the names, addresses, telephone numbers, dates of birth, unique medical identifiers (UMI), gender, medications, and health information of 2,589 individuals. The CE provided breach notification to HHS, the media, and affected individuals.  Following the breach, the CE issued a new UMI to each member impacted by the incident.  The CE determined that a process failure by an employee was the root cause for the incorrect mailing and subsequently terminated the employee. As a result of OCRs investigation, the CE instituted new quality review procedures for mailings and retrained employees on its privacy practices and departmental policies, processes and procedures.  OCR obtained details of the CEs revised policies on its health profiles to assure they include only the minimum necessary information.  "
