"","area","CO2","tree"
"1",1.60557394417312,"1","1"
"2",1.63007109295443,"1","1"
"3",1.5391189282571,"1","1"
"4",1.71873152196003,"1","1"
"5",1.38961628059743,"1","2"
"6",1.5858804838327,"1","2"
"7",1.46972758621447,"1","2"
"8",1.94934733592015,"1","2"
"9",1.53970203150308,"1","3"
"10",1.24365581484022,"1","3"
"11",0.875250536369178,"1","3"
"12",0.993235187589002,"1","3"
"13",3.11493699326992,"2","4"
"14",2.74021021947002,"2","4"
"15",2.48252281174371,"2","4"
"16",2.81928309368282,"2","4"
"17",2.89244750825253,"2","5"
"18",2.86227591908418,"2","5"
"19",2.84107554898662,"2","5"
"20",3.01837529343014,"2","5"
"21",2.65765745686149,"2","6"
"22",2.08391496656617,"2","6"
"23",2.23107072031305,"2","6"
"24",2.34640274100446,"2","6"
